tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,4.96,1.05,691070924
9.00,10.00,5.05,1.11,915074984
9.00,10.00,5.05,1.10,904412684
9.00,10.00,5.05,33.23,-2100078000
9.00,10.00,5.05,-41.93,419897428
9.00,10.00,5.05,-30.29,-1665652748
9.00,10.00,5.05,1.03,627065204
9.00,10.00,5.04,10.28,1254828336
9.00,10.00,5.04,-5.12,-1162626236
9.00,10.00,5.04,9.46,-1838578884
9.00,10.00,5.04,-17.65,-1311135420
9.00,10.00,5.04,7.91,873907688
9.00,10.00,5.04,-7.34,-988916244
9.00,10.00,5.05,4.37,393139796
9.00,10.00,5.05,-3.85,-668146632
9.00,10.00,5.05,1.82,-691811912
9.00,10.00,5.04,4.10,-662874544
9.00,10.00,5.05,-3.77,-369474612
9.00,10.00,5.05,1.10,893750444
9.00,10.00,5.04,5.78,1410295420
9.00,10.00,5.04,2.68,-1733373648
9.00,10.00,5.04,-7.40,-1212920304
9.00,10.00,5.04,-5.19,-1418649236
9.00,10.00,5.04,-13.99,-361034988
9.00,10.00,5.04,-9.71,-1348512412
9.00,10.00,5.04,-6.40,-1699787020
9.00,10.00,5.05,-2.40,551688512
9.00,10.00,5.05,6.39,-569931456
9.00,10.00,5.05,8.10,1599263228
9.00,10.00,5.05,-7.47,-1468911084
9.00,10.00,5.04,2.98,-591996828
9.00,10.00,5.05,2.94,-752027328
9.00,10.00,5.04,-0.63,-1350112260
9.00,10.00,5.04,2.23,854891728
9.00,10.00,5.04,4.27,9137516
9.00,10.00,5.04,-8.03,724657552
9.00,10.00,5.04,4.43,595819316
9.00,10.00,5.04,4.47,734493056
9.00,10.00,5.04,-1.50,-372556244
9.00,10.00,5.05,-5.84,401611640
9.00,10.00,5.05,-2.96,-1592391388
9.00,10.00,5.05,5.14,-1011099740
9.00,10.00,5.05,6.10,-1657964796
9.00,10.00,5.05,3.72,-2092261144
9.00,10.00,5.04,0.30,-2146313296
9.00,10.00,5.04,-2.68,-536344828
9.00,10.00,5.04,-5.22,-1557322976
9.00,10.00,5.04,-6.89,717817836
9.00,10.00,5.04,-5.88,241581140
9.00,10.00,5.04,-7.63,-2087579604
9.00,10.00,5.04,-5.43,1948315220
9.00,10.00,5.04,-6.41,-1753130500
9.00,10.00,5.05,-3.88,-774833592
9.00,10.00,5.05,4.66,1459848596
9.00,10.00,5.05,6.46,-313940676
9.00,10.00,5.05,4.78,1907856656
9.00,10.00,5.05,4.14,-492214024
9.00,10.00,5.05,6.11,-1615283556
9.00,10.00,5.05,5.52,439611340
9.00,10.00,5.04,4.54,1001146076
9.00,10.00,5.04,5.22,-701733260
9.00,10.00,5.04,5.13,-1043086520
9.00,10.00,5.04,4.64,1385180576
9.00,10.00,5.04,4.19,-321521284
9.00,10.00,5.04,-3.86,-700165632
9.00,10.00,5.04,0.39,-1783635556
9.00,10.00,5.04,5.22,-691071020
9.00,10.00,5.05,-3.20,1817222088
9.00,10.00,5.05,-0.46,-699424740
9.00,10.00,5.05,5.26,-541734980
9.00,10.00,5.05,-4.27,2058760324
9.00,10.00,5.05,2.22,822872728
9.00,10.00,5.04,5.71,1164966880
9.00,10.00,5.04,-5.12,-1151963936
9.00,10.00,5.04,3.67,2010721092
9.00,10.00,5.04,-1.27,523459816
9.00,10.00,5.04,-7.23,-572895024
9.00,10.00,5.04,6.55,16750344
9.00,10.00,5.05,3.24,400011732
9.00,10.00,5.05,-6.48,-2030445820
9.00,10.00,5.05,2.01,33543628
9.00,10.00,5.05,9.09,1059020752
9.00,10.00,5.04,-5.74,774951620
9.00,10.00,5.05,8.19,1951246568
9.00,10.00,5.04,-4.27,2037435784
9.00,10.00,5.04,-0.11,623274900
9.00,10.00,5.04,4.03,-897540844
9.00,10.00,5.04,-7.61,-1991587104
9.00,10.00,5.04,7.83,585897908
9.00,10.00,5.04,-4.51,1152081964
9.00,10.00,5.04,0.49,-1420957756
9.00,10.00,5.04,3.53,1498707312
9.00,10.00,5.05,0.13,1508628720
9.00,10.00,5.05,7.90,831226448
9.00,10.00,5.05,-8.12,351317512
9.00,10.00,5.05,7.45,-864813172
9.00,10.00,5.05,-3.83,-582816372
9.00,10.00,5.04,2.62,-1957377708
9.00,10.00,5.04,3.98,-1110882604
9.00,10.00,5.04,-0.90,1920827416
9.00,10.00,5.04,10.43,1830847896
9.00,10.00,5.04,-7.18,-380877744
9.00,10.00,5.04,8.88,269691712
9.00,10.00,5.04,-5.69,988293380
9.00,10.00,5.05,5.78,1399633180
9.00,10.00,5.04,2.95,-709346088
9.00,10.00,5.05,-1.24,640809076
9.00,10.00,5.05,3.36,848019792
9.00,10.00,5.05,-1.53,-468548744
9.00,10.00,5.05,9.79,-590547324
9.00,10.00,5.04,-0.69,-1584778560
9.00,10.00,5.04,4.25,-97517284
9.00,10.00,5.04,-8.13,340655272
9.00,10.00,5.04,9.40,-2083907424
9.00,10.00,5.04,-5.47,1809641480
9.00,10.00,5.04,8.37,-1671708668
9.00,10.00,5.04,-4.76,181397884
9.00,10.00,5.05,0.31,-2092969816
9.00,10.00,5.05,3.02,-442660848
9.00,10.00,5.04,-0.51,-923428740
9.00,10.00,5.05,6.60,230092104
9.00,10.00,5.05,-7.54,-1735596324
9.00,10.00,5.05,8.16,1823267228
9.00,10.00,5.04,-7.04,141798276
9.00,10.00,5.04,8.62,-711686888
9.00,10.00,5.04,3.55,1562713032
9.00,10.00,5.04,-0.15,473938860
9.00,10.00,5.04,5.66,940962880
9.00,10.00,5.04,-9.53,-687162592
9.00,10.00,5.04,8.31,-1917037208
9.00,10.00,5.05,-5.84,412273880
9.00,10.00,5.05,8.52,-1095689168
9.00,10.00,5.05,-2.93,-1475042128
9.00,10.00,5.04,-0.55,-1072764780
9.00,10.00,5.05,3.59,1712049072
9.00,10.00,5.05,-7.07,45773556
9.00,10.00,5.04,11.25,629287820
9.00,10.00,5.04,-6.11,-633078220
9.00,10.00,5.04,6.87,1254119664
9.00,10.00,5.04,-7.21,-466208004
9.00,10.00,5.04,6.51,-111261156
9.00,10.00,5.04,3.84,-1612234144
9.00,10.00,5.04,-0.50,-880747500
9.00,10.00,5.05,3.48,1285365552
9.00,10.00,5.05,-0.22,175266840
9.00,10.00,5.05,4.08,-737542564
9.00,10.00,5.05,-2.57,-98999068
9.00,10.00,5.04,10.01,241495236
9.00,10.00,5.05,-4.80,32061904
9.00,10.00,5.04,8.04,1375227008
9.00,10.00,5.04,-4.81,10737364
9.00,10.00,5.04,-6.34,-1486445260
9.00,10.00,5.04,9.56,-1475901144
9.00,10.00,5.04,-5.92,92245100
9.00,10.00,5.04,7.61,-235450192
9.00,10.00,5.05,2.21,801548188
9.00,10.00,5.04,-2.07,1778363372
9.00,10.00,5.05,11.28,735974780
9.00,10.00,5.05,-6.06,-430430920
9.00,10.00,5.05,3.11,-79983108
9.00,10.00,5.05,3.21,293356932
9.00,10.00,5.05,-5.01,-767961656
9.00,10.00,5.04,10.69,-1504097620
9.00,10.00,5.04,-7.99,863331292
9.00,10.00,5.04,7.80,457886408
9.00,10.00,5.04,-6.26,-1166448760
9.00,10.00,5.04,3.17,122664192
9.00,10.00,5.04,3.18,154683192
9.00,10.00,5.05,-6.49,-2062464820
9.00,10.00,5.05,11.77,-1692292316
9.00,10.00,5.04,-7.28,-754217784
9.00,10.00,5.05,7.38,-1120804012
9.00,10.00,5.05,-6.71,1421816676
9.00,10.00,5.05,3.08,-207994608
9.00,10.00,5.05,4.81,2035868096
9.00,10.00,5.04,-7.93,1097997592
9.00,10.00,5.04,4.41,510488996
9.00,10.00,5.04,-8.13,329993032
9.00,10.00,5.04,10.39,1670849616
9.00,10.00,5.04,-6.20,-953107000
9.00,10.00,5.04,9.00,696375172
9.00,10.00,5.05,-6.18,-867776740
9.00,10.00,5.05,-1.56,-575203544
9.00,10.00,5.05,7.19,-1846159552
9.00,10.00,5.05,-8.32,-406024808
9.00,10.00,5.05,7.72,180538868
9.00,10.00,5.04,-7.27,-700906524
9.00,10.00,5.05,6.86,1222100664
9.00,10.00,5.04,1.48,-1982524772
9.00,10.00,5.04,4.59,1225182296
9.00,10.00,5.04,4.81,2025173636
9.00,10.00,5.04,-0.51,-891409800
9.00,10.00,5.04,10.65,-1632076900
9.00,10.00,5.04,-8.56,-1302040868
9.00,10.00,5.05,7.67,-11446132
9.00,10.00,5.05,-5.00,-703955936
9.00,10.00,5.05,5.48,290275300
9.00,10.00,5.05,2.28,1046876728
9.00,10.00,5.05,-0.38,-422077260
9.00,10.00,5.05,3.90,-1420216924
9.00,10.00,5.04,-1.65,-937881344
9.00,10.00,5.04,9.07,963028252
9.00,10.00,5.04,-4.67,544075684
9.00,10.00,5.04,7.64,-128795392
9.00,10.00,5.04,-5.96,-35734180
9.00,10.00,5.04,5.14,-1011099800
9.00,10.00,5.04,4.22,-204204304
9.00,10.00,5.04,-0.61,-1296768780
9.00,10.00,5.05,6.89,1318093164
9.00,10.00,5.05,-9.25,379513988
9.00,10.00,5.05,7.14,-2048839072
9.00,10.00,5.05,-6.26,-1187773300
9.00,10.00,5.05,11.17,319953500
9.00,10.00,5.04,-6.53,2072504196
9.00,10.00,5.04,5.23,-659084300
9.00,10.00,5.04,2.25,940221988
9.00,10.00,5.04,-8.21,20658712
9.00,10.00,5.04,7.96,1055230448
9.00,10.00,5.04,-5.10,-1077295976
9.00,10.00,5.04,4.44,627806036
9.00,10.00,5.05,2.28,1046876728
9.00,10.00,5.04,-2.62,-301678588
9.00,10.00,5.05,11.57,1855994900
9.00,10.00,5.05,-7.18,-380877744
9.00,10.00,5.05,7.52,-598127932
9.00,10.00,5.05,-1.39,43464976
9.00,10.00,5.04,0.15,1583296680
9.00,10.00,5.04,4.76,1854513116
9.00,10.00,5.04,-3.26,1571893548
9.00,10.00,5.04,9.72,-867862644
9.00,10.00,5.04,-6.43,-1827798580
9.00,10.00,5.04,7.87,724571648
9.00,10.00,5.04,-5.34,-2005331036
9.00,10.00,5.05,4.92,-1843110140
9.00,10.00,5.05,3.66,1968039852
9.00,10.00,5.05,-0.29,-70061700
9.00,10.00,5.05,10.94,-554738020
9.00,10.00,5.04,-5.94,38933780
9.00,10.00,5.05,7.90,841888688
9.00,10.00,5.04,-4.05,-1414826712
9.00,10.00,5.04,0.36,-1900984816
9.00,10.00,5.04,3.62,1829366112
9.00,10.00,5.04,-4.75,245403604
9.00,10.00,5.04,11.25,629287820
9.00,10.00,5.04,-5.43,1948315220
9.00,11.00,5.05,7.21,-1782153772
9.00,11.00,5.05,1.18,1203084704
9.00,11.00,5.05,-0.98,1622155396
9.00,11.00,5.05,3.33,752027232
9.00,11.00,5.05,-1.65,-927219104
9.00,11.00,5.05,-6.49,-20731tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,4.95,0.82,-151601656
9.00,10.00,5.03,0.93,232400624
9.00,10.00,5.04,0.96,360412124
9.00,10.00,5.04,0.97,381736664
9.00,10.00,5.04,0.96,360412124
9.00,10.00,5.04,17.61,-1075932316
9.00,10.00,5.04,0.97,381736664
9.00,10.00,5.04,-7.16,-306209724
9.00,10.00,5.04,3.20,240013452
9.00,10.00,5.03,11.77,-1692292316
9.00,10.00,5.03,-7.56,-1799602044
9.00,10.00,5.03,6.56,70061604
9.00,10.00,5.03,-6.02,-281094880
9.00,10.00,5.03,9.47,-1806559944
9.00,10.00,5.03,-4.33,1824094024
9.00,10.00,5.04,2.22,844229488
9.00,10.00,5.03,2.69,-1669367928
9.00,10.00,5.04,-3.72,-177489552
9.00,10.00,5.04,4.51,894491336
9.00,10.00,5.04,4.50,873166796
9.00,10.00,5.04,-5.53,1574975180
9.00,10.00,5.04,0.44,-1612974976
9.00,10.00,5.03,6.27,-1028601756
9.00,10.00,5.03,9.30,1848382072
9.00,10.00,5.03,8.14,1769923748
9.00,10.00,5.03,3.76,-1942892944
9.00,10.00,5.03,5.55,556960600
9.00,10.00,5.03,8.00,1225891028
9.00,10.00,5.04,9.53,-1582555884
9.00,10.00,5.04,-1.71,-1161885344
9.00,10.00,5.04,-7.07,35111316
9.00,10.00,5.04,7.80,447224168
9.00,10.00,5.03,-4.41,1514759764
9.00,10.00,5.04,3.76,-1932230644
9.00,10.00,5.03,-5.30,-1845332756
9.00,10.00,5.03,7.55,-480810892
9.00,10.00,5.03,-0.66,-1488786000
9.00,10.00,5.04,-6.49,-2041140280
9.00,10.00,5.03,3.00,-528023328
9.00,10.00,5.03,7.63,-171476632
9.00,10.00,5.04,4.49,841147856
9.00,10.00,5.03,0.17,1668626940
9.00,10.00,5.04,-6.23,-1081118440
9.00,10.00,5.04,-4.02,-1286847432
9.00,10.00,5.04,1.22,1352420744
9.00,10.00,5.04,5.29,-435080240
9.00,10.00,5.04,4.64,1395842876
9.00,10.00,5.03,-1.37,150119776
9.00,10.00,5.03,-4.93,-447965156
9.00,10.00,5.03,-7.12,-156873744
9.00,10.00,5.03,-0.30,-102080700
9.00,10.00,5.04,4.37,393139796
9.00,10.00,5.03,5.73,1218310360
9.00,10.00,5.04,-3.98,-1158835932
9.00,10.00,5.04,-1.55,-543216764
9.00,10.00,5.04,4.73,1747858376
9.00,10.00,5.04,3.90,-1420216864
9.00,10.00,5.04,-6.47,-1977134560
9.00,10.00,5.04,3.18,154683192
9.00,10.00,5.03,4.16,-417546004
9.00,10.00,5.03,-6.68,1517809176
9.00,10.00,5.03,5.74,1250297140
9.00,10.00,5.03,-5.69,966936680
9.00,10.00,5.03,4.72,1694514896
9.00,10.00,5.03,3.33,730702752
9.00,10.00,5.04,-5.64,1148291660
9.00,10.00,5.04,5.64,898281640
9.00,10.00,5.04,-6.73,1315161876
9.00,10.00,5.04,5.57,631628560
9.00,10.00,5.04,-3.66,78533448
9.00,10.00,5.04,5.56,578285080
9.00,10.00,5.03,-5.16,-1301299976
9.00,10.00,5.03,3.24,378687192
9.00,10.00,5.03,1.39,1981783784
9.00,10.00,5.03,-0.94,1771491436
9.00,10.00,5.03,0.88,40415624
9.00,10.00,5.03,0.01,1071282900
9.00,10.00,5.04,5.12,-1085767760
9.00,10.00,5.04,4.16,-428208304
9.00,10.00,5.03,-1.73,-1236553364
9.00,10.00,5.04,8.61,-754335908
9.00,10.00,5.04,-6.68,1539165936
9.00,10.00,5.04,6.64,379428084
9.00,10.00,5.04,1.81,-702474152
9.00,10.00,5.03,3.93,-1292237584
9.00,10.00,5.03,3.22,314681472
9.00,10.00,5.03,-8.01,799325572
9.00,10.00,5.04,5.69,1090298860
9.00,10.00,5.03,-0.49,-838098480
9.00,10.00,5.03,-1.55,-543216764
9.00,10.00,5.04,9.46,-1838578884
9.00,10.00,5.04,-5.27,-1717321256
9.00,10.00,5.04,6.80,966109884
9.00,10.00,5.04,-1.98,2109054392
9.00,10.00,5.04,-0.58,-1190081820
9.00,10.00,5.03,4.94,-1768442120
9.00,10.00,5.04,-6.59,1859162436
9.00,10.00,5.03,10.37,1606843836
9.00,10.00,5.03,-1.09,1206166336
9.00,10.00,5.03,-1.60,-724539584
9.00,10.00,5.03,7.47,-790145212
9.00,10.00,5.03,-7.45,-1404905304
9.00,10.00,5.03,3.86,-1548228364
9.00,10.00,5.03,7.50,-672795952
9.00,10.00,5.04,-8.08,532672552
9.00,10.00,5.03,3.80,-1793556904
9.00,10.00,5.04,6.66,454096104
9.00,10.00,5.04,-6.57,1944492696
9.00,10.00,5.04,6.61,240754344
9.00,10.00,5.04,-6.50,-2094451600
9.00,10.00,5.03,7.79,415205168
9.00,10.00,5.03,-4.03,-1340158692
9.00,10.00,5.03,0.51,-1335627496
9.00,10.00,5.03,3.06,-282662568
9.00,10.00,5.03,-7.27,-700906524
9.00,10.00,5.03,7.52,-576803452
9.00,10.00,5.03,-5.21,-1514641736
9.00,10.00,5.04,-1.80,-1503238604
9.00,10.00,5.04,7.98,1151223008
9.00,10.00,5.04,-5.65,1126934960
9.00,10.00,5.04,5.39,-72402440
9.00,10.00,5.04,4.54,1022502836
9.00,10.00,5.04,-8.01,767338792
9.00,10.00,5.03,9.40,-2073245184
9.00,10.00,5.03,-5.44,1926958520
9.00,10.00,5.03,7.43,-918156712
9.00,10.00,5.03,5.60,716958820
9.00,10.00,5.03,-7.04,173785056
9.00,10.00,5.03,7.59,-342137152
9.00,10.00,5.03,4.78,1907856656
9.00,10.00,5.04,-8.32,-395362508
9.00,10.00,5.04,6.59,176748564
9.00,10.00,5.04,1.03,627065144
9.00,10.00,5.04,-2.94,-1507028908
9.00,10.00,5.04,11.27,703955840
9.00,10.00,5.03,-6.76,1229831616
9.00,10.00,5.03,-1.65,-905894564
9.00,10.00,5.03,3.71,-2134910164
9.00,10.00,5.03,-6.11,-622415980
9.00,10.00,5.03,6.90,1371436704
9.00,10.00,5.03,7.86,703214948
9.00,10.00,5.03,-6.48,-1998459100
9.00,10.00,5.04,4.55,1043827316
9.00,10.00,5.04,3.53,1488045072
9.00,10.00,5.04,-1.23,651471316
9.00,10.00,5.04,10.30,1318834056
9.00,10.00,5.04,-5.90,166913120
9.00,10.00,5.04,7.63,-160782172
9.00,10.00,5.04,-2.58,-141680308
9.00,10.00,5.03,-0.95,1707517876
9.00,10.00,5.03,10.17,838839276
9.00,10.00,5.03,-6.60,1827175656
9.00,10.00,5.03,2.63,-1914696468
9.00,10.00,5.03,3.98,-1100220364
9.00,10.00,5.03,-5.87,284262380
9.00,10.00,5.04,10.66,-1600090120
9.00,10.00,5.04,-7.54,-1735596324
9.00,10.00,5.04,7.67,-43465132
9.00,10.00,5.03,2.58,-2106713748
9.00,10.00,5.04,-5.71,902930900
9.00,10.00,5.04,6.40,-527282436
9.00,10.00,5.03,-0.39,-464758500
9.00,10.00,5.03,-0.97,1643512156
9.00,10.00,5.03,5.79,1463638900
9.00,10.00,5.03,-7.98,884688052
9.00,10.00,5.03,6.96,1574116164
9.00,10.00,5.03,-6.92,611130816
9.00,10.00,5.03,7.52,-587465692
9.00,10.00,5.04,-0.45,-667405740
9.00,10.00,5.04,-1.14,1003486816
9.00,10.00,5.04,3.68,2074726812
9.00,10.00,5.04,-9.41,-228492292
9.00,10.00,5.04,8.56,-935690888
9.00,10.00,5.04,-4.42,1482772984
9.00,10.00,5.03,-0.95,1707517876
9.00,10.00,5.03,-0.19,292616040
9.00,10.00,5.03,-0.58,-1190081820
9.00,10.00,5.03,4.58,1182501056
9.00,10.00,5.03,-5.54,1521631700
9.00,10.00,5.03,10.92,-618743800
9.00,10.00,5.03,-6.14,-718440700
9.00,10.00,5.04,1.14,1053748664
9.00,10.00,5.04,-6.50,-2083789360
9.00,10.00,5.04,8.30,-1938361748
9.00,10.00,5.04,-6.06,-441093220
9.00,10.00,5.04,6.87,1243425204
9.00,10.00,5.04,4.40,499826756
9.00,10.00,5.03,-8.94,1574234288
9.00,10.00,5.03,2.60,-2042707968
9.00,10.00,5.03,6.04,-1903293336
9.00,10.00,5.03,-6.22,-1017112720
9.00,10.00,5.03,2.49,1846900288
9.00,10.00,5.03,6.08,-1732632816
9.00,10.00,5.04,-5.28,-1770664736
9.00,10.00,5.04,2.75,-1466688468
9.00,10.00,5.04,8.62,-722349128
9.00,10.00,5.04,-6.07,-462417700
9.00,10.00,5.03,-4.44,1408104964
9.00,10.00,5.04,5.18,-861731540
9.00,10.00,5.04,3.58,1680030072
9.00,10.00,5.03,-5.06,-938622236
9.00,10.00,5.03,-1.04,1376826856
9.00,10.00,5.03,6.59,187410804
9.00,10.00,5.03,1.28,1555100204
9.00,10.00,5.03,-5.22,-1557322976
9.00,10.00,5.03,5.86,1730324140
9.00,10.00,5.04,6.65,411414864
9.00,10.00,5.04,-5.88,262937840
